2024-07-22 12:56:18 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-07-22 12:56:18 0 [Note] InnoDB: Uses event mutexes
2024-07-22 12:56:18 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2024-07-22 12:56:18 0 [Note] InnoDB: Number of pools: 1
2024-07-22 12:56:18 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=374] with future log sequence number 363784963
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=406] with future log sequence number 363784924
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=482] with future log sequence number 363784885
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=416] with future log sequence number 363785889
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=451] with future log sequence number 363785845
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=330] with future log sequence number 363785801
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=421] with future log sequence number 363785697
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=424] with future log sequence number 363785565
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=445] with future log sequence number 363785521
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=404] with future log sequence number 363785477
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=401] with future log sequence number 363785345
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=348] with future log sequence number 363785301
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=195, page number=4] with future log sequence number 363786931
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=492] with future log sequence number 363785257
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=195, page number=3] with future log sequence number 363786954
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=60] with future log sequence number 363787071
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=58] with future log sequence number 363787032
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=56] with future log sequence number 363786993
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=478] with future log sequence number 363768862
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=390] with future log sequence number 363768802
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 363768758
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=437] with future log sequence number 363768714
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=467] with future log sequence number 363768670
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=497] with future log sequence number 363768626
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=191, page number=321] with future log sequence number 363786113
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=191, page number=11] with future log sequence number 363748747
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=191, page number=359] with future log sequence number 363767426
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=192, page number=4] with future log sequence number 363746915
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=477] with future log sequence number 363768582
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=423] with future log sequence number 363768538
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=419] with future log sequence number 363768494
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=495] with future log sequence number 363768450
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=434] with future log sequence number 363768406
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=493] with future log sequence number 363768362
2024-07-22 13:04:09 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=491] with future log sequence number 363768302
